wifi,sle,status
1A:03:03:00:01:F7,1A:03:A0:00:00:FB,0
1A:03:03:00:01:F9,1A:03:A0:00:00:FC,0
1A:03:03:00:01:FB,1A:03:A0:00:00:FD,0
1A:03:03:00:01:FD,1A:03:A0:00:00:FE,0
1A:03:03:00:01:FF,1A:03:A0:00:00:FF,0
1A:03:03:00:02:01,1A:03:A0:00:01:00,0
1A:03:03:00:02:03,1A:03:A0:00:01:01,0
1A:03:03:00:02:05,1A:03:A0:00:01:02,0
1A:03:03:00:02:07,1A:03:A0:00:01:03,0
1A:03:03:00:02:09,1A:03:A0:00:01:04,0
1A:03:03:00:02:0B,1A:03:A0:00:01:05,0
1A:03:03:00:02:0D,1A:03:A0:00:01:06,0
1A:03:03:00:02:0F,1A:03:A0:00:01:07,0
1A:03:03:00:02:11,1A:03:A0:00:01:08,0
1A:03:03:00:02:13,1A:03:A0:00:01:09,0
1A:03:03:00:02:15,1A:03:A0:00:01:0A,0
1A:03:03:00:02:17,1A:03:A0:00:01:0B,0
1A:03:03:00:02:19,1A:03:A0:00:01:0C,0
1A:03:03:00:02:1B,1A:03:A0:00:01:0D,0
1A:03:03:00:02:1D,1A:03:A0:00:01:0E,0
1A:03:03:00:02:1F,1A:03:A0:00:01:0F,0
1A:03:03:00:02:21,1A:03:A0:00:01:10,0
1A:03:03:00:02:23,1A:03:A0:00:01:11,0
1A:03:03:00:02:25,1A:03:A0:00:01:12,0
1A:03:03:00:02:27,1A:03:A0:00:01:13,0
1A:03:03:00:02:29,1A:03:A0:00:01:14,0
1A:03:03:00:02:2B,1A:03:A0:00:01:15,0
1A:03:03:00:02:2D,1A:03:A0:00:01:16,0
1A:03:03:00:02:2F,1A:03:A0:00:01:17,0
1A:03:03:00:02:31,1A:03:A0:00:01:18,0
1A:03:03:00:02:33,1A:03:A0:00:01:19,0
1A:03:03:00:02:35,1A:03:A0:00:01:1A,0
1A:03:03:00:02:37,1A:03:A0:00:01:1B,0
1A:03:03:00:02:39,1A:03:A0:00:01:1C,0
1A:03:03:00:02:3B,1A:03:A0:00:01:1D,0
1A:03:03:00:02:3D,1A:03:A0:00:01:1E,0
1A:03:03:00:02:3F,1A:03:A0:00:01:1F,0
1A:03:03:00:02:41,1A:03:A0:00:01:20,0
1A:03:03:00:02:43,1A:03:A0:00:01:21,0
1A:03:03:00:02:45,1A:03:A0:00:01:22,0
1A:03:03:00:02:47,1A:03:A0:00:01:23,0
1A:03:03:00:02:49,1A:03:A0:00:01:24,0
1A:03:03:00:02:4B,1A:03:A0:00:01:25,0
1A:03:03:00:02:4D,1A:03:A0:00:01:26,0
1A:03:03:00:02:4F,1A:03:A0:00:01:27,0
1A:03:03:00:02:51,1A:03:A0:00:01:28,0
1A:03:03:00:02:53,1A:03:A0:00:01:29,0
1A:03:03:00:02:55,1A:03:A0:00:01:2A,0
1A:03:03:00:02:57,1A:03:A0:00:01:2B,0
1A:03:03:00:02:59,1A:03:A0:00:01:2C,0
1A:03:03:00:02:5B,1A:03:A0:00:01:2D,0
1A:03:03:00:02:5D,1A:03:A0:00:01:2E,0
1A:03:03:00:02:5F,1A:03:A0:00:01:2F,0
1A:03:03:00:02:61,1A:03:A0:00:01:30,0
1A:03:03:00:02:63,1A:03:A0:00:01:31,0
1A:03:03:00:02:65,1A:03:A0:00:01:32,0
1A:03:03:00:02:67,1A:03:A0:00:01:33,0
1A:03:03:00:02:69,1A:03:A0:00:01:34,0
1A:03:03:00:02:6B,1A:03:A0:00:01:35,0
1A:03:03:00:02:6D,1A:03:A0:00:01:36,0
1A:03:03:00:02:6F,1A:03:A0:00:01:37,0
1A:03:03:00:02:71,1A:03:A0:00:01:38,0
1A:03:03:00:02:73,1A:03:A0:00:01:39,0
1A:03:03:00:02:75,1A:03:A0:00:01:3A,0
1A:03:03:00:02:77,1A:03:A0:00:01:3B,0
1A:03:03:00:02:79,1A:03:A0:00:01:3C,0
1A:03:03:00:02:7B,1A:03:A0:00:01:3D,0
1A:03:03:00:02:7D,1A:03:A0:00:01:3E,0
1A:03:03:00:02:7F,1A:03:A0:00:01:3F,0
1A:03:03:00:02:81,1A:03:A0:00:01:40,0
1A:03:03:00:02:83,1A:03:A0:00:01:41,0
1A:03:03:00:02:85,1A:03:A0:00:01:42,0
1A:03:03:00:02:87,1A:03:A0:00:01:43,0
1A:03:03:00:02:89,1A:03:A0:00:01:44,0
1A:03:03:00:02:8B,1A:03:A0:00:01:45,0
1A:03:03:00:02:8D,1A:03:A0:00:01:46,0
1A:03:03:00:02:8F,1A:03:A0:00:01:47,0
1A:03:03:00:02:91,1A:03:A0:00:01:48,0
1A:03:03:00:02:93,1A:03:A0:00:01:49,0
1A:03:03:00:02:95,1A:03:A0:00:01:4A,0
1A:03:03:00:02:97,1A:03:A0:00:01:4B,0
1A:03:03:00:02:99,1A:03:A0:00:01:4C,0
1A:03:03:00:02:9B,1A:03:A0:00:01:4D,0
1A:03:03:00:02:9D,1A:03:A0:00:01:4E,0
1A:03:03:00:02:9F,1A:03:A0:00:01:4F,0
1A:03:03:00:02:A1,1A:03:A0:00:01:50,0
